Time	Message ID	Initial Ammonia Concentration	Initial Hydrogen Sulfide Concentration	Maximum Pressure	Volumetric Flow Rate	Cost Per Gram (Copper Sulfate)	Cost Per Gram (Ammonia)	Cost Per Gram (Sulfuric Acid)	Cost Per Kilowatt Hour	Number of Chemical Analyzers	Volumetric Flow Rate	Hydrogen Sulfide Concentration	Ammonia Concentration	Water Concentration	Max Applied Pressure	Concentration of Hydrogen Sulfide (leaving CSTR)	Concentration of Ammonia (leaving CSTR)	Concentration of Hydrogen Sulfide (leaving SSU)	Concentration of Ammonia (leaving SUU)	Final Concentration of Hydrogen Sulfide	Final Concentration of Ammonia	Final Concentration of Water	Power Consumption (KhW/s)	Clean Water Production Percentage	Current Cost Of Power Per Second	Current Cost Of Chemicals Per Second	Current Segment Cost Per Liter	Grams CuS	Grams NH3	Grams H2SO4	NGSWAT-100	NGSWAT-200	NGSWAT-300	NGSWAT-400	Simulation Ticks	Segment Ticks	Segment Liters Treated	Segment Cost	Max Hydrogen Sulfide Concentration	Min Hydrogen Sulfide Concentration	Max Ammonia Concentration	Min Ammonia Concentration	Max Clean Water Percentage	Min Clean Water Percentage	Max Cost Per Liter	Min Cost Per Liter	Total Cost	Total Liters Treated	Average Cost Per Liter	Average Hydrogen Sulfide Concentration	Average Ammonia Concentration	Average Clean Water Percentage
4/14/2017 8:33	Start Command	0	0	70000	315.45	0.0976	0.09921	0.000814	0.12	6																																										
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		1	1	315	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	315	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		2	2	630	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	630	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		3	3	945	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	945	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		4	4	1260	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	1260	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		5	5	1575	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	1575	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		6	6	1890	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	1890	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		7	7	2205	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	2205	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		8	8	2520	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	2520	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		9	9	2835	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	2835	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		10	10	3150	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	3150	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		11	11	3465	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	3465	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		12	12	3780	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	3780	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		13	13	4095	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	4095	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		14	14	4410	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	4410	0	0.00E+00	0.00E+00	100
4/14/2017 8:33	System Status Message										315.45	0	0	1000000	70000	0	0	0	0	0.00E+00	0.00E+00	1000000	0.052777778	100	0.006333333	0	0	0	0	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:33	Simulation Tick																																		15	15	4725	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	100	100	0	0	0	4725	0	0.00E+00	0.00E+00	100
