Time	Message ID	Initial Ammonia Concentration	Initial Hydrogen Sulfide Concentration	Maximum Pressure	Volumetric Flow Rate	Cost Per Gram (Copper Sulfate)	Cost Per Gram (Ammonia)	Cost Per Gram (Sulfuric Acid)	Cost Per Kilowatt Hour	Number of Chemical Analyzers	Volumetric Flow Rate	Hydrogen Sulfide Concentration	Ammonia Concentration	Water Concentration	Max Applied Pressure	Concentration of Hydrogen Sulfide (leaving CSTR)	Concentration of Ammonia (leaving CSTR)	Concentration of Hydrogen Sulfide (leaving SSU)	Concentration of Ammonia (leaving SUU)	Final Concentration of Hydrogen Sulfide	Final Concentration of Ammonia	Final Concentration of Water	Power Consumption (KhW/s)	Clean Water Production Percentage	Current Cost Of Power Per Second	Current Cost Of Chemicals Per Second	Current Segment Cost Per Liter	Grams CuS	Grams NH3	Grams H2SO4	NGSWAT-100	NGSWAT-200	NGSWAT-300	NGSWAT-400	Simulation Ticks	Segment Ticks	Segment Liters Treated	Segment Cost	Max Hydrogen Sulfide Concentration	Min Hydrogen Sulfide Concentration	Max Ammonia Concentration	Min Ammonia Concentration	Max Clean Water Percentage	Min Clean Water Percentage	Max Cost Per Liter	Min Cost Per Liter	Total Cost	Total Liters Treated	Average Cost Per Liter	Average Hydrogen Sulfide Concentration	Average Ammonia Concentration	Average Clean Water Percentage
4/14/2017 6:45	Start Command	12000	12000	70000	315.45	0.0976	0.09921	0.000814	0.12	6																																										
4/14/2017 6:45	System Status Message										315.45	12009.76	12002.86	975987.38	70000	0.01200976	0.0120031	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.8407379	0.006333333	1731.660416	1731.66	17742.3466	0.0744	0	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		1	1	315	1731.66	3.79E-06	3.79E-06	3.79E-08	3.79E-08	97.840738	97.840738	5.4895	5.4895	1731.66	315	5.4973	3.79E-06	3.79E-08	97.840738
4/14/2017 6:45	System Status Message										315.45	12004.59	11987.98	976007.43	70000	0.01200459	0.01199793	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84161854	0.006333333	1731.218931	1731.22	17734.7093	3.1378	0	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		2	2	630	3462.88	3.79E-06	3.79E-06	3.79E-08	3.78E-08	97.841619	97.840738	5.4895	5.4881	3462.88	630	5.4966	3.79E-06	3.79E-08	97.841178
4/14/2017 6:45	System Status Message										315.45	11993.04	12001.7	976005.26	70000	0.01199304	0.0120017	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84094629	0.006333333	1729.254435	1729.25	17717.6549	0	13.9008	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		3	3	945	5192.13	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841619	97.840738	5.4895	5.4819	5192.13	945	5.4943	3.79E-06	3.79E-08	97.841101
4/14/2017 6:45	System Status Message										315.45	12001.82	11997.69	976000.49	70000	0.01200182	0.01199769	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84167799	0.006333333	1730.510948	1730.51	17730.6258	0	2.2945	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		4	4	1260	6922.64	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.840738	5.4895	5.4819	6922.64	1260	5.4942	3.79E-06	3.79E-08	97.841245
4/14/2017 6:45	System Status Message										315.45	12014.73	12019.04	975966.23	70000	0.01201473	0.01201904	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.8379218	0.006333333	1732.378805	1732.38	17749.6998	0	9.9613	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		5	5	1575	8655.02	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.837922	5.4918	5.4819	8655.02	1575	5.4953	3.79E-06	3.79E-08	97.840581
4/14/2017 6:45	System Status Message										315.45	12016.15	11992.82	975991.03	70000	0.01201615	0.01200948	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.83958017	0.006333333	1733.095875	1733.1	17751.7864	5.2568	0	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		6	6	1890	10388.12	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.837922	5.4941	5.4819	10388.12	1890	5.4964	3.79E-06	3.79E-08	97.840414
4/14/2017 6:45	System Status Message										315.45	11999.66	12003.86	975996.48	70000	0.01199966	0.01200386	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84057851	0.006333333	1730.205904	1730.21	17727.4373	0	9.8546	PASS	PASS	PASS	PASS																		
