Time	Message ID	Initial Ammonia Concentration	Initial Hydrogen Sulfide Concentration	Maximum Pressure	Volumetric Flow Rate	Cost Per Gram (Copper Sulfate)	Cost Per Gram (Ammonia)	Cost Per Gram (Sulfuric Acid)	Cost Per Kilowatt Hour	Number of Chemical Analyzers	Volumetric Flow Rate	Hydrogen Sulfide Concentration	Ammonia Concentration	Water Concentration	Max Applied Pressure	Concentration of Hydrogen Sulfide (leaving CSTR)	Concentration of Ammonia (leaving CSTR)	Concentration of Hydrogen Sulfide (leaving SSU)	Concentration of Ammonia (leaving SUU)	Final Concentration of Hydrogen Sulfide	Final Concentration of Ammonia	Final Concentration of Water	Power Consumption (KhW/s)	Clean Water Production Percentage	Current Cost Of Power Per Second	Current Cost Of Chemicals Per Second	Current Segment Cost Per Liter	Grams CuS	Grams NH3	Grams H2SO4	NGSWAT-100	NGSWAT-200	NGSWAT-300	NGSWAT-400	Simulation Ticks	Segment Ticks	Segment Liters Treated	Segment Cost	Max Hydrogen Sulfide Concentration	Min Hydrogen Sulfide Concentration	Max Ammonia Concentration	Min Ammonia Concentration	Max Clean Water Percentage	Min Clean Water Percentage	Max Cost Per Liter	Min Cost Per Liter	Total Cost	Total Liters Treated	Average Cost Per Liter	Average Hydrogen Sulfide Concentration	Average Ammonia Concentration	Average Clean Water Percentage
4/14/2017 8:39	Start Command	0	12000	70000	315.45	0.0976	0.09921	0.000814	0.12	6																																										
4/14/2017 8:39	System Status Message										315.45	12009.76	0	987990.24	70000	0.01200976	0.0120031	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.8112599	0.006333333	2107.299471	2107.3	17742.3466	3786.3768	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		1	1	315	2107.3	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.81126	97.81126	6.6803	6.6803	2107.3	315	6.6898	1.20E-08	1.20E-10	97.81126
4/14/2017 8:39	System Status Message										315.45	12004.59	0	987995.41	70000	0.01200459	0.01199793	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81218927	0.006333333	2106.392368	2106.39	17734.7093	3784.7469	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		2	2	630	4213.69	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.812189	97.81126	6.6803	6.6774	4213.69	630	6.6884	1.20E-08	1.20E-10	97.811725
4/14/2017 8:39	System Status Message										315.45	11993.04	0	988006.96	70000	0.01199304	0.01198639	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81426461	0.006333333	2104.366779	2104.37	17717.6549	3781.1073	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		3	3	945	6318.06	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.81126	6.6803	6.671	6318.06	945	6.6858	1.20E-08	1.20E-10	97.812571
4/14/2017 8:39	System Status Message										315.45	12001.82	0	987998.18	70000	0.01200182	0.01199517	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81268618	0.006333333	2105.907363	2105.91	17730.6258	3783.8754	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		4	4	1260	8423.97	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.81126	6.6803	6.671	8423.97	1260	6.6857	1.20E-08	1.20E-10	97.8126
4/14/2017 8:39	System Status Message										315.45	12014.73	0	987985.27	70000	0.01201473	0.01200807	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81036513	0.006333333	2108.172819	2108.17	17749.6998	3787.946	0	PASS	PASS	PASS	PASS																		
