Time,Message ID,Initial Ammonia Concentration,Initial Hydrogen Sulfide Concentration,Maximum Pressure,Volumetric Flow Rate,Cost Per Gram (Copper Sulfate),Cost Per Gram (Ammonia),Cost Per Gram (Sulfuric Acid),Cost Per Kilowatt Hour,Number of Chemical Analyzers,Volumetric Flow Rate,Hydrogen Sulfide Concentration,Ammonia Concentration,Water Concentration,Max Applied Pressure,Concentration of Hydrogen Sulfide (leaving CSTR),Concentration of Ammonia (leaving CSTR),Concentration of Hydrogen Sulfide (leaving SSU),Concentration of Ammonia (leaving SUU),Final Concentration of Hydrogen Sulfide,Final Concentration of Ammonia,Final Concentration of Water,Power Consumption (KhW/s),Clean Water Production Percentage,Current Cost Of Power Per Second,Current Cost Of Chemicals Per Second,Current Segment Cost Per Liter,Grams CuS,Grams NH3,Grams H2SO4,NGSWAT-100,NGSWAT-200,NGSWAT-300,NGSWAT-400,Simulation Ticks,Segment Ticks,Segment Liters Treated,Segment Cost,Max Hydrogen Sulfide Concentration,Min Hydrogen Sulfide Concentration,Max Ammonia Concentration,Min Ammonia Concentration,Max Clean Water Percentage,Min Clean Water Percentage,Max Cost Per Liter,Min Cost Per Liter,Total Cost,Total Liters Treated,Average Cost Per Liter,Average Hydrogen Sulfide Concentration,Average Ammonia Concentration,Average Clean Water Percentage
4/14/2017 8:59,Start Command,12000,0,70000,315.45,0.0976,0.09921,0.000814,0.12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12002.86,987997.14,70000,0,0.01200286,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81128586,0.006333333,8.874534449,8.87,0,0,10902.3765,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,315,8.87,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.811286,97.811286,0.0281,0.0281,8.87,315,0.0282,0.00E+00,1.20E-10,97.811286
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11987.98,988012.02,70000,0,0.01198798,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81396206,0.006333333,8.863534136,8.86,0,0,10888.8626,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,630,17.73,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.811286,0.0281,0.0281,17.73,630,0.0281,0.00E+00,1.20E-10,97.812624
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12001.7,987998.3,70000,0,0.0120017,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81149534,0.006333333,8.873673381,8.87,0,0,10901.3186,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,945,26.6,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.811286,0.0281,0.0281,26.6,945,0.0281,0.00E+00,1.20E-10,97.812248
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11997.69,988002.31,70000,0,0.01199769,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81221532,0.006333333,8.870713923,8.87,0,0,10897.683,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1260,35.47,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.811286,0.0281,0.0281,35.47,1260,0.0282,0.00E+00,1.20E-10,97.81224
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12019.04,987980.96,70000,0,0.01201904,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.80837604,0.006333333,8.886495404,8.89,0,0,10917.0705,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
